"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"ABCA12" 1 0 4 2 2 0 4 19 2 8 0 3 162 23.58694 8.39535 24.70394 119.024 7.02624 6.02763 6.04113 13.2429 3.0255 260.71271 35.59279 45.79467 325.6594
"ABCA13" 0 11.34563 1 5.14554 8.02354 25.47763125892 63.99992 14.283386 9.362159 2.01285 44.02794 49.46057 225.62792438 7 3 5 2 12856.9836 4 11 43 2 54 15 20 53
"ABCA2" 281.010790814359 929.009640765959 12.0000146733389 81.028138650364 1 46.9999779520118 2 364.16706 30.9999551762625 13 3 2 62.99994051 867.0003 32.999996 56.00001 10.99999 35.000007 83.000038 6.000005 16.99996 201.00009 8 6.999996 946.99945 42
"ABCA3" 153.0899 1073.23645 35.000000273117 56.0000000224633 3 7 117 414.17856 29.0000300330672 24.00005 10.00974 6 181.0003 818.28076 125.99997 145.585210032756 30.44469 873.06858 469.04059 454.00121 91.00101 193.20496 317.96346 113.05978 2316.195 127.489260029199
"ABCA4" 20.00003 8.000002 0 3 14 53.00002 6 42.0000254268 1 7.9999983 61.00003 1 49 43.044271 13.11541 31.01875 20.00866 123.01442 15 24.03074 113.44477 7.22473 6.11191 9.078159 27.2785 78.57421
"ABCA5" 1339.91445 2498.84585 290.99993 1334.9987623185 754.00045 4506.81744 736.65349 2512.06988 2181.2949839772 2343.97959 12786.8617 1005.0002 1214.1181 1255.01885 1106.00265 2613.99752 381 1637.00148 335.00002 1769.00206 1371.0012 74.00001 396.00006 163.00028 284.00068 4736.04567
"ABCA6" 797.33177 515.135 69.00028 1149.4334 62.99997 5334.4043 776.08148 2202.31 122.38063 828.34 261.06429 124.3484 213.0241 317.00005 292.9996 93.99996 169 99.999953 6448.003 87 1160.003 27.00001 81.99997 7 120 296
"ABCA7" 142.999977027731 66.0000256856 0 32.000003 0 20.000036114811 2 69 36.00009 12.000001 4 6 16.999997 22 28.000010844 9 1.999998604 7.9999955 5.0000007117 10 9.000003946 168 36 12 1388.99700001605 11
"ABCA8" 1607.55472 3969.42904 617.00061 4116.35133 195.99959 4250.18392 1036.96612 6315.9266 212.81037 1775.76653 4.000001 679.00225 2404.45017 797.3564 1591.9605 924.749 535.93318 326.49209 3202.9648 1145.78 529.2701 109 521.068 147.088 289.928 625.61461
"ABCA9" 3096.41825 349.97061 92.24724 2974.46359 44.14164 1626.83774 388.8326017 3877.26059 246.56108 1481.39891 861.58526 147.42131 498.538865 1402.99865 936.00013 314.99951 410 888.99989 150.00042 473.0001 3066.00243 196.99955 565.00004 271.00026 1668.00113 1412.9973
"ABCB10" 298.0002 1075.99716 210.99958 688.99956 223 560.99967 844 548.00042 265.00043 875.0001 3800.001 423.0003 234.82515 538 286 306 235 515 441 361 326 83 426 802 1451 256
"ABCB11" 138.3883 10.503582 0 3.988718 0 4119.00114 1.000052 19.55452 0 18.01569 5.00229 3.064825 343.54494 2 0 0 1 8.000000025922 23873.95807 0 18.00003 2.000000999448 4 5.000003 3.00000505446 158.00000098143
"ABCB4" 10.058329 2416.7053 31.0000260251979 243.53803 4.00612 2624.32637 1 44.0972590280853 2 90.384675227 39.0927 195.000013070972 44.1060361988402 38.4367 34.90108 98.27925 183.00019 24.5314 5518.5888 20.1797 31.21875 7.77122 47.58198 8.84368 595.1734 137.78086
"ABCB6" 262.779564 977.2618 35.00004 313.35715 53.00002 337.6807874873 17 764.89483 93.4748 115.57587 181.00002 38.0029100840798 591.51959 96.99997 58.99997 57.99992 17.000001 141.0003186 308.0004 42.00003 46 88.99996 121.00001 65.999993 240.0002 303.00053
"ABCB7" 329.5430516727 1532.8398176769 492.14410331012 1649.7095904573 358.1153108563 678.3431231424 737.1225384306 872.05956117429 211.1018873735 1014.20163012877 2056.08942442311 439.56138661741 298.57380874444 1716 4172.82 2847.76 1891.88 4483.89 3063.99 2137 3979.93 65 4565 5336.71079 2703.23 678.434
"ABCB8" 107.02672 852.26146 10 218.1796819089 13.9999986 76.32892 5.0361 281.07228 59.018301 73.14134 99.17 12 95.12376 63.99995 22.00001 21.000009 18 16.00005 53.99996 18.99998 16 56.99993 43.99998 17.00003 177.999931 53.99999
"ABCB9" 52.1557547288001 163.24325 17 50.19493 6.00033 25.05001 5.00508 139.88022 17.539558 22.17855 54.7846 21.87309 167.421965 88.05029 13.05621 38.6369 8.65531 20.11032 5.2266 10.03626 4 31.216765 19.3923 29.4628 90.91351 89.9432
"ABCC1" 400.54278 816.3988 76.214700385467 67.8566910552 14.09427 26.9988 53.44449 842.279831 44.96788846211 259.336890137907 20.4904700281395 63.3760151708 604.70341 753.80803 366.05608 119.82543 140.10786 292.10405 33.307128 311.90612 435.1001 114.5153 411.01937 108.66954 1932.25954 1084.70161
"ABCC10" 180.04532 608.17577 4 149.08679 5 81.67225 10 371.39274 129.70536 90.00003 150.00003 25 87.30157 30.70936 10.18134 6.12142997 2.02106 11.25575 24.691598 6.00207 4.03389 127.08318 23.900753 26.02854 254.29886 30.451
"ABCC12" 1 1 4 2 0 3 1 6 0 0 0 0 600.0004 33.99996 0 6 1 0 4 2 0 0 0 3.000005 1 4132.9994
"ABCC2" 212.000500045808 85.7173700184838 2 28.921340017519 348.000110426902 9427.56819 25.0000000205269 56.2618478 42.5947500743272 58.17219 4806.06958 104.11013 134.591550038648 22.0920094 7.00426 11.0388 8.06995 8162.81695 14539.2587 8.00319 26.0636075 3.63583 70.364500210433 19005.40293 25.09876 67.5808
"ABCC3" 159.136694 15303.57648 0 24.7201453 73.00003 3597.67857 169.0004867942 777.83588 1767.71016 1439.99943060049 2957.77982036498 241.2027 187.84609 544.99988 23 7 2 562.999870570652 2152.00229 168 73.000000138626 85 901.9998 367.99962 1130.00031 1107.0000204002
"ABCC4" 237.3272 319.2445 270.99975 169.025132 534.99975 81.99996 1159.6332 1258.249608116 135.244326021 1345.74223 97.09152 204.0571033 657.00005 1070.20072 691 127.0977 113.00489 2699.02065 103 209.00053 467.0004 112 436.26594 83 884.6393 165.7909
"ABCC5" 502.00039 2349.00352 387.00048197466 2711.9986 432.99937 302.00023 300.00026 2633.08228 344.11922 1364.99999 918.00033 910.99985 1162.02984 1332.00029 1078.49471 2533.86447 494.000192 590.99975 130.896262 695.95841 847.95574 241.99983 610.20153 514.747182 3244.7498 574.65715
"ABCC6" 7.38403 16.811208 9.91463 14.13478 116.8458 436.61155 98.885678 60.306017 40.53954 33.05786 486.45561732 9.063602 7.800938 0 0 3 0 6 221.99981 0 1 11 11 25 0 1
"ABCC8" 57.00527 469.01094173 16.99998 59.00004306296 0 4 0 95.01494 247.0037399 26 8.999994 1 19.000015 27 4 10 13 0 0 0 0 623.99956 1 0 1 3
