"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"ARID1A" 1879.31151 6181.28412 1196.04394 2017.1575 393.03244 1237.87279 650.01116 5205.5171 695.91768 1755.92593 2834.20048 1327.54507 1702.75101 1830.06493 1021.070906 828.096852 346.00047 946.004012 656.8797788085 1349.00012 2138.95614 707.33554 1629.183601 1356.09195 11170.0873 1976.39811
"ARID1B" 1167.14916027044 2757.646838 1030.6777086 1372.06685 337.74233 485.879907 701.689396 3743.0674882 497.73975 1503.258315 2226.26528 1206.419572 868.06909 969.49921 1104.64785 697.36584 286.0004 757.66559 372.684 1364.00156 1793.5627 245.08428 1041.15457 694.81242 2110.97497 375.19823
"ARID2" 640.4697 2093.02083 925.999191241 744.79966 279.000240034739 484.005723717 652.00016 1843.94184 288.65573 1141.0015 2290.72181 609.0004 4428.90788 2258.00066 2232.99692 1028.99947 660.99952 1501.99997 910.00049 2488.99606 5375.00212 329.9998 3049.00038 2231.99846 3897.99743 22230.01191
"ARID3A" 206.63717 142.452532 42.474 65.8942 40.0124 50.08508 60.0912 133.3394 45.43046 93.77326 82.48012 121.222 87.9136 70.0897 68.39789 49.0301000145615 24.01791 150.674 11.02476053032 127.243 150.0419 24.01439 128.971632900206 126.5046 754.363 145.3424
"ARID3B" 120.013398 158.08799 13.000024043 58.84234345 7.04221792 59.640877 19.99998689 130.41976662 48.70408 49.06069 96.9471 30.01781 648.06636 75.99998 19.00004297917 25.9999804289 9.0000015 22.999955 22.9999983 29.00004 17.000006 55.9999 89.00005 37.00003 2205.00026 717
"ARID4A" 950.99959 1845.00093 448.0001 770.00047 277.99977 954.00049 994.99964 1344.99878 285.00030110604 1348.99769 2768.00486 971.00038 258.00026 1488.003 1001 733 353.00024 985.9999 613.0002 1093.99696 1212.004 243.0004 2083.002 1217.0039 5392.99667 1868.997
"ARID4B" 907.1796 3085.658620009 762.001798 912.88970199 422.06867698315 630.10478 1100.00629023875 2126.59367 478.3799983392 1782.04105009232 2774.22448325 1509.01646114506 841.1983567 2438.1210029 3237.21089 2129.0136 851.0906305335 2176.00455103 983.024950236 2743.20275184596 4151.34762 355.0004 4296.935742 2993.2042 5579.798479206 6485.44734
"ARID5A" 155.00004 68.99997 1 27 0 10 1 85.99992 5 3 1 2 15 63.49383 16.55434 38.33287 8.701469 31.2687 11.87621 62.8689 26.5887 55.57027 83.2152 29.9499 1320.83224 99.58567
"ARID5B" 2555 1950.00397 342 942.00024 556.99988 239 875.99963 3506.00224 207 2848.00199 1094.00055 766.99959 1133.0026 2095.5626 1049.16555 770.04875 520.03963 1132.08017 1156.00831 2487 2212.63337 228.0021 1773.43957 650.48815 2703.73207 1410.03077
"ARIH1" 1580.53247 5244.7723 2200.63447 3582.49969 696.48933 1335.93319 2047.99475 5798.05148 794.33705 3604.02914 5666.67867 1460.98033 4001.64039 4410.00236 7583.00378 4584.0045 2073.00403 4607.00253 2731.99946 4342.99975 8721.99909 348.0001 7313.99799 4879.9958 7437.99924 20774.00339
"ARIH2" 1536.64903 5105.72505 289.02407 5359.73457 320.00733 989.38609 902.22337459794 3766.90639 1348.46421 2276.06451 1548.01614 709.18598 2135.65787 1181.91929 650.92112 519.53024 294.3596 671.80455 598.74455 401.60552 716.95542 150.0288019591 1367.98972 848.18312 2940.89056 7637.98127
"ARL1" 939.18261 12039.1185 1326 3689.3713 1762.04768041 1848.08285 3154.00337 5117.60088 1071.10526 2876.01781 4018.17847 984.0208559078 1903.33619 4181.995 4632.986 5530.005 1980.986 5170.996 3891.967 7939.9829 6445.999 545 11333.967 5641.998 2862 6109
"ARL10" 204.79 606.20538 365.691 715.041 107.434 178.372 91.9423 2086.91429 139.162 613.937 177.812 338.674 300.618 29 42 5 1 5 4 7 15 11 34 11 262.99968 5
"ARL11" 49.477 75.188 1.00345 34.7877 1 19.162 136.577 83.8456 5.77742 22.0672 68.2194 84.2923 30.1675 31.54145 21.4088 9.03891 1 10.3842 20.4985 102.00537 36.4349 5.02288 44.14748 38.4515 119.0888 275.5782
"ARL13A" 3 5 1 7.000004 1 8.9999998 1 21.00003 4 16 40.999968 7 166.00002 43 0 3 0 2 0 0 1 4 6 3 2 2243
"ARL13B" 274.0002373 599.00037 192.024999 224.015 152.99957769 155.02675 573.99976 428.000164554 93.000011 473.00016 215.00414354 220.0003 244.9998 711.99964 504.00031 442.0001 192.99976 522 406.0001 1065.9956 1113.00317 69.000014 1146.00287 657.99957 789.99966 3882.9967
"ARL14" 0 9 0 0 0 3 2 2 46 210 1347 0 1 0 0 0 1 2 0 0 10 2 415 1160 19 4
"ARL14EP" 312.039 2300.0623 331.99983 1281.0699 427.99956 455.1402 828.00041 1094.2527 252.036 1163.045 739.3362 543.0126 789.0569 735.9999 905.9998 1194.0003 229.00002 762.0001 411.99962 789.99977 1449.999 107.99998 871.0005 457.0004 1260.9994 2404.9995
"ARL15" 671.00019 1445.99982 1395 760.99985 586 379.99979 706.000410334792 1265.00376 184.999800040144 536.000270142665 1867.00132 532.00027 698.9997 916.9999 1226.0043 1330.00018 207 1411.0021 396.00044 1869.99863 1450.0033 96.99997 484.0001 1250.9977 463 474.0003
"ARL16" 199.8223 382.52693 68 196.341205 84.19101255889 246.6801 148.46796 535.17796 386.68862 226.07807 257.1676 98.88187 210.16146 197.50192 78.82633 123.64576 18.218200712613 62.58336 63.02993 52 78.09515 39.47948 91.7633 44.66405 302.04465 188.77258
"ARL2" 347.2047 1261.84 0 394.8277 1.05225 26.75208 24.25595 849.8044 43.10708 53.3808 9.49481 0 324.4569 94.00004 26.99997 32.99999 14 9 20 5 17 69 38.99999 19 294.99976 111.9999
"ARL2BP" 820.299 6583.35945 1645.3047 1862.65879 675.31405 585.74524 2543.28201 3524.6503 406.212 1799.27329 978.5453 1094.88993 2372.43068 761.00078 893.99952 1474.99553 404.99944 679 116.99997 2013.9984 1215.00044 181.999894 1273.0007 665.9998 2017.00486 7355.9969
"ARL3" 214.87 2008.9 1090.99 1225.98 578.959 219.966 941.99 1925.87 145.965 667.826 235 136.947 956.886 755.2135 593.1623 800.114 246.98541 625.8299 172.0616 967.3403 962.8145 237.1804 335.67037 274.071 525.1475 3893.16434
"ARL4A" 228.8929 485.00009 350.9432 508.9995 127.772900458095 156.00001 1376.8935346 713.8143 158.9408 1351.95658 6170.885 678.216365 3599.6322 4486.845 2398.0917 1843.22111 629.184207 1277.7872 1843.0779 2570.25696 2090.71521 194.72052 4588.28296 3644.247 1070.15428 32750.8825
"ARL4C" 892 822.0001 3416.003 101 48 105 448.0001 586.0001 129.0004 726 117 765.0003 180 3753.99806 513 925.00045 86 236.000281 57 1138.001147 1101.004549 44 203.99969 210.00026 3629.99826 247.99966
"ARL4D" 43 124 79 61 272 239 120 528 18 207 1 123 212 82 24 92 38 91 244 458 61 25 45 100 92 107
"ARL5A" 877.30002 2984.23567 596.5684 2279.24816 822.77539 808.74542 2677.84314 1348.26865 333.922 1477.327139864 6178.52259 963.438 618.08724 2906.00336 6465.00452 5619.00282 1868 6349.9956 7488.00457 7499.00037 7927 373 5727 9617.0014 6296.995 1124.0045
"ARL5B" 404 1998 703 501 242 1026 812 1043 431 718 4929 494 1000 1085.06772 1614.63148 1463.501537 882.08304 1537.70447 2140.99244 1727.38468 5962.6327 208.318644 3652.62482 1866.16741 1657.98515 1628.9978
"ARL5C" 4 0 0 3 0 2.00403 1 7.00923 18.01162 7 1 0 3.13999 48.9954 15.7024 29.1843 8.2087 20.7092 10.28537 56.4956 29.35914 40.31259 37.1416 15.4158 2016.82 51.0802
"ARL6" 123.00006 633.00027 197.00029 224.00025 255.999941 104.99995949 812.00017 291.00017 110.00001 413.9998 177.99967 143.99975 511.0003 534.00016 425.99959 952.00007 108 1104.0007 103 885.99984 765.00047 38 215 100 143.00036 2415.9998
"ARL6IP1" 3055.01764 9272.79544 15753.13555 1413.07195 2280.53823 4948.13718 6809.76601 9212.91674 1141.04295 2926.8841 11784.54691 1964.09979 5785.78315 3188.9984 5897.99947 6451.0004 312 13433.99179 3865.00287 6708.9997 5179.99992 222 4499.99658 7339.00026 8746.99904 10011.99931
"ARL6IP4" 730.50573 3557.8856 24.99995 432.883994 85 293.6550404 226.99993 1133.25905 150.81441 263.9998759 133.00001078 66.000123 243.631424222977 70.00004 16 16.000001 7 18.00004 34 13 31.00005 121.99998 18.00004 16.99996 357.9998 84.99996
"ARL6IP5" 2580.99767 10148.9655 2942.999 7901.01549 1934.005 1355.00426 9585.99959 8040.01844 856 4633.99733 4819.00455 3013.00004 1640.00158 877 1144 2269 440 861 488 2322 1081 188 950 786 3537 201
"ARL6IP6" 183 370.0002 743.0003 161.00001 84.00001 105 711 474.0001 74.00004 316 728 297.00047 348.0001 561.1438 813.99443 266.038 260.73427 624.0003 480.0739 1082.99621 1728.2715 37.22668 1330.1629 1057.4481 834.65 4228.36
"ARL8A" 480.9608 1741.96129 399.9019 398.96545 125.9998 189.9737 264.9995 1060.86187 80.93836 270.7647 136.7206 124.8903 262.94465 449.7282 230.17576 800.00036 63.99999 356.36271 115.07161 564 226.99988 249.99967 282.13113 323.16749 1489.1596 196.00039
"ARL8B" 1229.99932 7670.00301 1934.99856 3645.998934 1289.99837071363 1214.99534 4402.99583 3120.16941 585 3393.99641 4162.99133 1359.00000015262 2218.27933 5278.004 7530.997 9369.998 2468.004 5786.005 3177 5091 7479.002 519 5396.005 5036.005 3680.997 11421
"ARL9" 10.246219 41.1977 68.062 5.239893 3.000004 20.07373 13 61.7539 11.00187 26.22109 54.46379 8 104.22262 35 1 1 0 4 1 4 0 4 11 6 14.00004 1648.999
"ARMC1" 497 2957.00179 1653.00387 1718.99855 571.9998033 651 1265.00051 1313.99648 341.00013 1831.00329 2235.99827 614 561.99963 1360 2192 4081 1093 2904 1690 2450 3065 104 2049 2159 2043 1135
"ARMC10" 150.74688 1316.64865586 954.34085 409.53114 214.05571 308.1397 585.51643 1102.88531 155.95716 627.72194 533.058137923 189.348670916 555.40493 1136.0002 726.99956 543.99996 169.00019 807.99958 254.00031 1038.00374 1915.00319 84 1273.9962 681.00033 1802.0047 604.9998
"ARMC2" 82.00005 225.0001 62.00002 196 28.99995 14.99999 100.99994 203.00005 33.9999560450641 128 60.99998 63.00003 1563 78.4262501037 23.64452 112.87132 453.7338 35.3026932891 12.77110664632 79.92118 82.7387 20.798602931 57.8192 93.42843 82.3853 1399.1035709007
"ARMC3" 1 5 40 2 16.000005118 2 230.99975 12 16.000003 6.000001 11 2 1914.00187 75 0 15.99998 2.0000000715232 3 0 96 60 0 8.0000000111587 3 50.00000393676 7597
"ARMC4" 0 19.23846 10.42499 11.01289 3 5.42972 116.52865 122.98059 3.55078 95.34936 3.41996 6.18958 1911.13071 79.00003 0 20.999998786 1.00000042518 1 0 99.999968 137.000207628 6.999996947 0 0 0 3269.9954
"ARMC5" 60 212.57987 2 26.0897 0 38.25992 2 109.01969 11 17.5572 12.111 1.08573 30.69311 17.0624 12.532686 7 0 9.107789 6 10 9.19377 48.315 11.1239 6.04332 185.207 28.7124
"ARMC6" 68.0445639815 529.28127 2 39.143 1 54.0417 2 111.00004 13.0004332 5.000004 2 0 68.0000836292529 19.000005 10 14 0 7.5423 6 8.33014 10 13 8 7.000008 74.16893 7.00624
"ARMC7" 47.00001 277.99983 8 49.99996 18 32 17.00004 398.00052 18.99999 10.000001 37.00004 7 26.00004 59.99998 10 12 0 5 13 16 18 17.00005 20.99997 6 534.9995 20
"ARMC8" 1159.37646 3603.0586 666.000690246787 1576.36989 410.9997 528.026329 1151.00685 1538.2742 434.40597505 1820.753729 2049.29467111589 803.00126 878.09049 987.2225 1557.5884 2352.519 438.2873 1297.848 484.65755 1052.1225 1366.3959 133.1548 1568.559 1710.934 2517.694 2397.802
"ARMC9" 47.445764 1517.98948 100.04557 45.56936 42.001169 30.016863 189.82617 1087.21733 40.0824 340.27949 25.47636 19.0118045403 513.52079 170.00263 71.9999800384016 245.00498 46.00004 116.00007 51 40.00037 171.00047 61.99995 424.99981 63.00061 869.00952 1328.00514
"ARMCX1" 261 4105 1010 1217 307 42 719 2172 247 1231 101 287 240 1451.0003 721.00024 1884.0022 91.999902871 304.99993 83.0000200353996 975.44003 1107.00042 78.0001 435.00062 164.00044 305.999800020196 167.01618
"ARMCX2" 203.00024 8769.00276 780.001 1069.99964 641.0004 57 550.9997 2998.99887 488.00028 1041.00033 27 904.9996 281.0006653 1920.00438 1212.99772 2185.9996 132 346.00019 82.00001 1070.99736 3979.9964 146 426.00012 207 994.99933 342.00002
"ARMCX3" 931.99988 19670.02345 1509.997 3766.99943 1211 1222.99984 1590.99992 3608.99718 1826.00223 2531.9983 2145.998 1558.0021 805.9991 3647 2532 3264 574.9999 1001 407 2161.999 3428.998 366.0004 2115.001 599 1382.001 378.9206
"ARMCX4" 505.99987 4796.62257 179.0002 466.87764 120.99997 366.99943 168.42332 1872.99987 431.00025 1221.00038 713.42054 395.99991 206.00005 775 892 837 184 228 68 635 857 66 193 68 397 57
"ARMCX5" 204.00008 1483.9999 178.00005 249.99997 203.99974 347.99994 466.00001 617 299.00054 387.00071 519.99952 218.9997 216.999952 571.5372 530 794.8707 200.9995 184.2814 136.34006 336.00049 1145.9991 31.33133 317.6392 207.9998 716.875 541.094
"ARMCX6" 212.99948 3133.9955 72.5385 712.0468 83.4371 186.9969 458.7682 1648.00049 349.93645 394.55706 116.27252 149.5333 229.90513 1023.0006 98.00003 43.000020629 7.66957 20.99998 8 35.99997 289.00036 16.9999665271 43.99999 7.889915 117.00047 130.99945
"ARMH1" 2.00723 29.000034 4 6.01593 1 148.23661 7 49.06206 6 15 7.26899 8 238.01138 42.00004 18 0 0 4.00000092 0 32 12 0 1 0 2 2071.995
"ARMH3" 350.31735 2281.75961 269.00044 1492.67761 150.99987 403.85562 376.1021 1656.68053 219.91192 777.65345 953.36175 191.21707 733.69287 419 384 237.99926 132 351 176 112 608.00053 56 447.99941 429.00075 597.99961 481
"ARMH4" 91.00258 860.02749 356.99966 304.07316 361.99999 77.04272 88.99997 1096.8702 47.00718 131.03069 77.01322 51.99999 529.12354 314.3209 80 1142.99952 379 694.14206 16 223.9998 459 25.69701 364.00469 126.9999 88.02286 169.39578
"ARMT1" 317.0004 1439.9996 324.00028 933 732 1000.99992 1567 577.0001 141 798 1767.99556 355 660.00044 387.0822 340.58154 420.49468 134.13743 359.79874 393.6392 270.0245 407.856 41.7223 860.22746 758.80415 1728.07664 6254.01618
"ARNT" 1542.28420001689 4003.72255 945.999163 1756.77962 446.00018 1456.50441 1349.11211 6381.80433 465.26442 1748.93265 2020.67708 830.00846 1694.46964 1864.16795 1587.29679 817.4331 612.24604 1117.39888 982.06772 1367.53734 2509.07873 211.3198 2041.9731 1364.20537 3389.23519357 1374.17789
"ARNT2" 76.94811 621.22083 867.99956 144.70093 133.00004 21.065937 130 1529.58127 138.216141 329.56832 12.05566 33.02306 1189.18426 1157.25258 654.04097 2022.26668 3 485.00966 1 5.00472 870.00716 7.000004205162 16.08079 25 189.295350158588 106.467758
"ARNTL" 868.43097 3236.92947 267.15384 425.21512 137.99994 1755.7917490938 593.999722299246 804.69138 203.064343617422 765.38143 671.23505136092 302.4240721912 729.88217 486.99929 954.0006 539.0007 283.9995 829.9994 664.00075 850.99989 487.9993 209.0003737464 1844.00071 1000.9995 1187.9992 256.0001
"ARNTL2" 89.7506 151.878482 312.355 56.94097074585 14.06041 263.74334 156.79101 121.43172 63.9456 222.84796 319.08236606 53.02876 177.13204 174.53241 106.59867 242.40787 78.62568 67.4728856205 50.9765 58.58158 138.56379 133.495619917 203.0899 74.82798 232.080472063096 350.891888
"ARPC1B" 568.55392337955 1054.4646299 50.547833 223.14367 143.16810465647 308.53535 1576.68406 1077.00864 178.760683265 359.93116 841.72734 937.3462 162.631390967556 847.1384 796.7215 55.73844 111.4589 310.3466 177.58593 1326.201 834.803 242.8982 1745.90165 1448.01688 3292.46917 378.94555
"ARPC2" 4961.16533 10701.93372 2294.99621 4048.93125 1540.09442 1644.84971 8686.01418 10889.90543 1091.12136 4646.53056 8966.1485 4104.212507 4165.19936 6660.00146 3851 3546.99737 1420 4503 2886 8027 6163 865 9294 10032.97163 14804.0229 8180.99814
"ARPC4" 718.1568326 4242.164 323.52374 881.5702 350.00086 551.4375 1750.1027 3868.5679 311.41681 880.2095 1031.5663 418.10491 833.0144 625.778 522.85656 838.6061 94.000047 747.8532 421.8034 880.9037 772.9019 100.86997 815.61084 675.6788 4267.5921 473.5071
"ARPC5" 1577.2539 4131.8703 4285.41259 1182.7443 1196.48081 1387.1592 11429.55714 4575.5172 1032.7417 3257.6723 8679.093 3968.1975 1806.5785 3257.003 2868.0027 2387.0035 388.0004 3130 1911.9983 7663.0024 3409.001 384.9996 7767.002 6683.998 11895.002 1738.9996
"ARPC5L" 319.0001 2953.00406 559.00005 777.0003 215.99971 311.0001 481.00028 668.00007 245.99998 355.9999 743.9996 426.00017 940.0006 1552.372 1336.6088 2196.25 749.1586 1327.8922 830.005 1752.2882 1304.42 135.0693 1260.593 1189.4 6817.19861 4576.92761
"ARPP19" 3104.28161 13329.43108 9745.99955 4826.05261 2115.997349 1601.02677 5729.99608 6171.386443706 925.63172 5608.83994 7028.44926 2260.161707 3782.40252 2069.00107 3413.99689 14666.0004 1075.9997 3951.0013591 1435.99965 3572.00030018097 4371.99941 260 3831.00341 2402.99869921 2496.99741 2653.00306
"ARPP21" 0 6.999998 212.99991 1 4 24 0 0 0 31 0 1 16.999974 1.00037 3.00043 11290.932424 21.35504369 4.756523769 0.0725619 2.219193 2.637915 0 17.5445603452 11.00057 20.814816 33.688263612
"ARR3" 2.99999879 10.0000000101068 0 5.0000036893147 1 11 0 27.99996 6.0000020953718 8 39.0001 5 6.0000048 6 0 21.00001 1 0 0 0 1 0 1 2 4 1
"ARRB1" 1122.57747 825.01203 183.096 356.31597 77.004 156.89603 658.00072 2968.17193 216.84172 626.6804 491.98686 178.97445 248.75977 1058.9601 635.8638 1557.0485 112 843.1041 136.2043 732.2798 657.00861 288.1378 1139.7851 1153.0607 5679.93523 495.4983
"ARRB2" 933.23358 1519.30407 133 549.102567042614 95 447.04812 1134.99927 1307.54768 233.0104843065 371.02423 447.97308 764 162.02716 119.99995 15.999997 28 5 12 35.999982 24.99998 11 315.99952 19 11.999997 2212.99770444 18.00002694
"ARRDC1" 131.07378 342.08002 1 64.00001010629 2 27.00849 12 88.03344 34.09591 27.00005 19.007056 3 49.00005 113.9999952 9 14 4 30.00001 4 60.99997 14 82 194.99998 65 1172.999634368 14.00000136864
"ARRDC2" 657.00013103694 174.000000010528 25.00000415399 358.999458656 35.000022821 93.00000778649 362.000182536 609.0003216835 170.000086022 599.9996160358 29.00000188939 98.000000943 72.0000160127 115 6 14 5 4 19.5 11 8 36.499963 18 5 215.99994 22
"ARRDC3" 944.99979 14808.038 1563.00372 596.99958 1060.00128 876.00024 2825.00422 2599.99537 461 3860.99569 583.0003 804.99955 1534.99896 4197.99778 9559.99831 2450.99973 1220.9982 7229.99939 7108.9983 8969.98663 7728.0018 146.99989 6564.9631 1991.00136 2650.0051 8303.982
"ARRDC4" 529 3083 357 652 818 475 2511 1542 754 3365 2707 648 1461 953.0005 462.00012 138.00023 89.99997 533.99986 353.99951 970.00017 1163.0022 92.00002 3603.9988 889.9998 1353.9968 258.0002
"ARSA" 286.28171 300.30896 11.5866 129.18 20.2416 86.8581 24.7202 200.977 117.483 115.698 145.446 54.0802 83.56335 118 59 69.00004 18 72 60 116 47 86 78.99994 68 622.00008 1353.99966
"ARSB" 284.18251 1035.98235 105.39675 581.58587 190.2152 173.80288 486.66178 910.83352 99.93626 393.13905 88.99397 119.914838 260.04698 1566.65 1573.71988 1073.45997 125.608 2849.64223 714.68669 902.191 2214.85441 515.327 825.22585 367.226 1919.25153 441.99084
"ARSG" 152.61838 1255.03919 25.1563 359.23103 63.10079 173.94791 123.64029 797.843 132.16679 104.13062 67.7166 79.78559 156.15784 86.99998 74.00002 238.00005 4.000000233113 285 129.999769 19.99997 73.99996 76 65.00001 203.00022 237.99952 86.99997
"ARSI" 1 5 1 3 2 2 3 23 2 0 5 1 9 11 2 0 1 2 0 0 7 10.0243 4 0 33.0092 0
"ARSJ" 55.14484 301.1222 13 46.24864 119.00033 107.13524 168.00009 283.13778 40 253.01546 59.00005 7.08909 82.19932 30 4 51 8 12 0 67 93 6 78 14 2 5
"ARSK" 169.36432 1023.8951 210 228.77306 171 292.38417 385.08699 503.96244 133.93554 425.57286 263.13312 114.00354 105.67379 1101.01736 876.06196 419.45783 228.67305 1369.93489 578.03959 1074.60499 1890.62391 107.56068 1106.1967 715.1406 871.6995 1043.2757
"ART3" 6.00369 10.03975 32.99997 2595.29856 2 2.00043 1 51.2213 108.30354 76.56083 6.00153 53.51634 2295.43774 1753.5093 123.006794 37.20066 1718.0009 57 39.00007 459.00086 114.194252 75.00001 165.3837 74.000044 126.30234 5865.20438
"ART4" 99.0895 265.23693 1 235.1405 44.04254 1229.68846 120.99999 254.2291 45.49466 28.00759 6.00981 465.04818 30.0466 373 76 0 109 101 41 183 548 21 16 2 304 43
"ARV1" 273.0005 1219.14225 375.00029 854.18232 458.00015 581.02283 963.00055 498.42734 200.16311 761.9996 1299.03694 351.8417 1044.5632 88.00009 35 44.99998 16 25.99998 24 28.00001 48.99999 25 72.99999 46 390.0003 110.00005
"ARVCF" 10 69.00011 16.99999 42.50314 9 19 4 30 21.00003 27.9359 1 24.00005 14 56.2557500182145 23.21992 26.2252 8.02606 39.23284 51.19196 25.3768 5.03679 62.24958 15.5377 4.0549 422.30368 11.131755
"ARX" 1.09172 7.45991 50 0 2.34207 0 11 1617.66 29 1.12903 24.5769 5.06313 55.512 69.99998 18 179.99956 0 1 0 0 580.00044 8 12 14 0 57.99998
"AS3MT" 80.3953 44739.9 413.232 1485.374 436.605 924.896 151.1983 1300.958 141.298 506.66 165.63503 394.776 288.572 212 415.00022 92.99997 203.99999 624.00096 559.99963 320.00009 357.0005 62.99991 383.99957 350.99998 660.9995 335.999579
"ASAH1" 5697.31635053786 7139.49700470173 1642.02793786603 36936.0824204023 4680.24748594266 2274.9352816309 27832.2356893109 7172.10402953432 1101.59197435693 4153.6690215899 7601.227515 2810.14631664648 1567.74066930071 4707.00295 5860.997 2359.99947 773.99958 4827.00658 2198.00353 7535.99922 10777.00269 428.0007 9987.99848 3817.998 4751.99485 2895.00109
"ASAP1" 1929.997665977 6063.0024 1521.99656 2294.99914 220.9997 442.60913 870.71637503 5577.757467003 280.99989350704 1089.0012091 829.999680055755 1872.00103 2378.677598161 941 1031.00034 2036.00136 244.00048 582.0005 336.0002843255 740.9996 1495.99821 242.00012 1228.0002 407.99985 3956.004 8288.9966600413
"ASAP2" 455.56679 460.5527 315.35322019146 436.90077156251 229.86313087837 94.09611 154.852680777753 1469.8606 86.024860643349 736.105270024091 2706.44392037955 20.3199400188436 4396.75903 942.86003 1221.66751 972.46471 275.3591 560.976 451.4666 634.3559 641.3503 184.0753 1656.46 1205.571 668.9251 124.86616
"ASAP3" 220.99959 888.9990106237 22.596013 378.81785 79.50003 172.04572 74.00002 1183.62364 134.439139 129.22227 25.1565 25.70459 174.13717 44 7 9 13 30 56 24 18 85 14 2 73 29
"ASB1" 271.080657 1183.99853 354 1105.00002 91 254.0003 109 1334.00334 162.99993 580.9995 260 116.0005 416.14927 302.24189 421.522 566.661 142.455 347.554 170.24 329 373.301 45.9242 161.556 107.326 1374.24586 1344.3682
"ASB11" 2.154129 2.00122 0 2155.9693 0 1.00023 2.00014 7.00967 3.04013 1 8.02084625 1 2.08573 793.0002 15.99997 68 1779.0015 41.99998 0 55.00002 6 23.00002 212.0004 26 6 22.99998
"ASB13" 271.9997 1707.00011 56 279.9999 269 820.0004 389.0002 898.9996 115.0001 428.0003 1189.999 110 122.0000686439 723.479 567.146 1300.67 237.501 1743.5 1197.19 1217.63 559.409 314.045 718.913 1384.86 1372.4233 84.6934
"ASB14" 39.3488 50.29969 11 504.07 12.61445 19.6122 28.5722 50.03155 17 33.0359 91.6952 32.67327 26.1273 10 8 9.5 368.49934 0.5 3 26.50003 6.500004 0 17.00005 4 13 87.000024
"ASB15" 1 0 4 3069.0027 88.00001 1 0 0 1 0 24.99995 1 238.99957 50.0416 14.007 0 1168 196.0002 2.000003 9 2.00274 1 1.00044 1 6.00633 1544.119
"ASB16" 32.3276 59.2209 0 37.1871 0 2.0254 1.00232 42.9604 10.198 2.0018 0 1.00241 12.4388 49 5 28 4 3 4 3 0 16 26 5 2 18
"ASB18" 4.02915 7.72708 0 265.90829 1.03439 17.3123 0 15.883 1.04442 6.19573 8.18721 2.00149 11.85195 1182.02 9.7188 31.9961 135.109 24.863 66.9734 18.7904 5.6095 10.9712 13.3745 19.6383 36.8297 72.4129
"ASB2" 7.5 10 1.5 671.499827 0 0.5 3.5 188.50014 0 120.50005 2 2 13 6 2 1 86.99999 0 5 4 8 9 12 16 743 7
"ASB4" 17.0378 13439.396 35.99997 121.667 15.3253 67.73374 14.4394 90.5044 35.2327 48.4959 154.01496 27.8192 58.6819 55 90.99996 54 116 41 18 28 552.00034 10 43 27 28.00003 3234.9983
"ASB5" 0 6 5 134 7 1 7 10 0 825.00019 3 1 104.00007 17 31 24 225 15 0 25 1 0 9.999997 0 7 122
"ASB6" 192.445 1235.8853 36.0192000291288 149.106 18.0000000875244 64.09419 24.3632000903984 561.018 104.79101896253 46.1489 41.1357 22.7956 183.951800831834 45.84259 13.93074 11.42463 2.21906 10.72079 8.56138 3 5.09006 77.00003 14.0701 4.28889 326.98522 49.96395
"ASB7" 231.00034 907.00028 220.99962 339.99962 178.9998 362.00033 420.00042 776.99984 108 673.00023 938.00004 318.99978 726.99962 882.725988 629.94957 435.20915 157.68562 621.36502 357.6028 431.79201 1124.1 77.25342215 1209.6564 616.17905 693.3026 925.78435
"ASB8" 411.26171 3378.3591138 464.02999 2517.74502 428.64354 793.2731 692.030379 1989.142 316.144923 1068.64353709047 1224.22735 440.328252563 691.83389 407.96632 394.00036 513.75 484.00023 497.791 353.925 490 416.935 94.99997 645.6942 419.93186 783.98944 1248.50796
"ASCC1" 453.11452 4080.31038 752.929633 1389.24721 283.89033 463.628523 735.95559 1799.49064 148.93701 815.8279 721.28438 432.22187 1024.27082 173.99975 139.9999 91.99992 47.99996 306.0003 110 168.00008 209.0001 38.00004 121.9998 72 451.9999 1067.9999
"ASCC2" 547.99999651 4076.69388 79.703580176947 478.40434 57.98387 463.09544 110.00000223104 1335.12345 207.18783 279.67839 430.78762 78.02969187028 886.2388 756.98 699 163 102 442.9995 279.0002 590 492 229.9997 1083.00488 564 1626.951 2916
"ASCC3" 464.9999 5565.00206 783.0001 834.9999 223.0003 927.99969 660.9996 2138.10456 259.9997 851.0002 2906.99825 600.9996 1312.46272 1412.33368 3392.85685 908.81058 431.99956 1871.87221 1320.56912 1151.52562 3622.07568 237.77435 2881.14396 2129.07364 2777.10762 7545.65722
"ASCL1" 2 65 6628 0 0 1 5 5 1 12 0 0 6 9 17 43 0 1 0 14 7 4 15 0 0 0
"ASCL2" 0 3 13 0 1 1 10 5 3 8 0 1 6 7 4 0 0 0 0 1 1 1 34 21 1 4
"ASCL4" 0 0 0 1 1 0 1 2 0 3 0 1 3 476.92395 4.61956 5.7965 1.22209 18.3097 1 5.00212 5.42911 0 10.01241 4.08084 9.99484 46.8261
